county_name,fips,latitude,longitude,year,total_pop,median_income,median_home_value,price_to_income,median_gross_rent,rent_burden_pct,severe_rent_burden_pct,total_housing_units,housing_units_per_1k,vacancy_rate_pct,homeownership_pct,homeownership_white_nh_pct,homeownership_black_pct,homeownership_hispanic_pct,poverty_rate_pct,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_aian_nh
Adams,17001,39.98777031083264,-91.18845652194672,2014,67113,45472,106500,2.34,588,44.9,22.2,29907,445.6,10.2,71.1,72.5,27.8,74,14.4,92.7,3.7,0.8,1.3,0.1
Adams,17001,39.98777031083264,-91.18845652194672,2016,66949,48065,116400,2.42,590,41.3,20.1,29991,448,9.2,70,71.6,35.6,79.8,12.9,92.3,3.8,0.8,1.4,0.1
Adams,17001,39.98777031083264,-91.18845652194672,2018,66427,51398,126100,2.45,670,40.9,19.4,30202,454.7,9.6,71.7,73.6,36.8,43.3,12.1,91.8,4,0.8,1.5,0.3
Adams,17001,39.98777031083264,-91.18845652194672,2020,65670,55052,130500,2.37,692,42.6,18.1,30226,460.3,10,71.6,73.4,32.7,51.7,12.5,91.3,4,0.7,1.6,0.2
Adams,17001,39.98777031083264,-91.18845652194672,2022,65583,63767,151300,2.37,782,38.4,17.9,30226,460.9,9.1,72.2,74,34.6,52.3,12.1,90.7,3.9,0.7,1.8,0.1
Alexander,17003,37.19143870346038,-89.33745023062926,2014,7821,25495,52800,2.07,367,33,18.6,3977,508.5,28.9,65.7,79.7,41.3,33.3,36.8,59.7,35.9,0.3,2.1,0.4
Alexander,17003,37.19143870346038,-89.33745023062926,2016,7051,29071,50100,1.72,464,39.7,21.9,3974,563.6,36.2,68.5,79,50.8,33.3,33.5,61.1,33.9,0.3,1.8,0.4
Alexander,17003,37.19143870346038,-89.33745023062926,2018,6532,34709,53500,1.54,505,30.9,19.9,3985,610.1,41.7,71.3,78.6,58.6,100,30.2,62.2,33.2,0.1,1.1,0.7
Alexander,17003,37.19143870346038,-89.33745023062926,2020,6011,34709,56100,1.62,643,33.5,13.4,3965,659.6,43.2,74.8,78.1,69.1,100,26.9,62.7,35.1,0,1,0.1
Alexander,17003,37.19143870346038,-89.33745023062926,2022,5261,40365,58600,1.45,652,27.8,11.8,3000,570.2,42.4,77.9,83.6,69.6,NA,21.4,63.5,33.2,0.2,1,0
Bond,17005,38.88679503405851,-89.43553751554636,2014,17571,48120,106500,2.21,631,33.3,21.8,7086,403.3,12.1,75.8,75.1,95.7,81.9,15.9,88.3,4.6,1.5,3.3,0.1
Bond,17005,38.88679503405851,-89.43553751554636,2016,17137,52159,107200,2.06,665,32.8,21.2,7101,414.4,14.8,76.3,75.9,74.3,75.7,16.5,87.8,5.3,1.3,3.5,0.1
Bond,17005,38.88679503405851,-89.43553751554636,2018,16712,58097,122500,2.11,625,36.6,14.9,7228,432.5,14,77.5,78.5,53,44.1,14.5,88,6.2,1.2,3.5,0.3
Bond,17005,38.88679503405851,-89.43553751554636,2020,16520,53568,116900,2.18,603,34.7,15.3,7276,440.4,12.6,73.3,75.5,20.3,54.9,13.6,87.6,6.7,0.3,3.6,1.4
Bond,17005,38.88679503405851,-89.43553751554636,2022,16750,58617,130300,2.22,698,36.3,21.8,6895,411.6,9.8,72,74.7,12.6,26.5,14.9,86.6,6.9,0.5,3.8,0.7
Boone,17007,42.32295820116818,-88.82337329705675,2014,54005,60166,150900,2.51,720,41.2,22,19970,369.8,9.1,82.6,84.7,75.8,68.4,11.9,75,2.2,1.5,20.3,0
Boone,17007,42.32295820116818,-88.82337329705675,2016,53656,60063,146600,2.44,750,41,18.8,19959,372,7.8,79,82.5,76.8,59.1,11.1,74.5,2,1.3,20.5,0.3
Boone,17007,42.32295820116818,-88.82337329705675,2018,53606,66898,152600,2.28,838,40.1,15.3,20065,374.3,6.6,79.8,82,52.4,68.7,11,73.4,2,1.2,21.4,0.3
Boone,17007,42.32295820116818,-88.82337329705675,2020,53293,70396,160600,2.28,927,44.3,16.3,20079,376.8,6.4,82.4,83.3,53.3,82,8.2,72.5,2.5,1,22.2,0.2
Boone,17007,42.32295820116818,-88.82337329705675,2022,53459,80502,181700,2.26,938,44.3,18.2,20183,377.5,5.7,83.9,84.7,70.4,81,9.8,70.5,2.1,0.9,23.5,0.1
Brown,17009,39.961762425299646,-90.75033345091684,2014,6878,45463,85200,1.87,600,15.3,6.6,2456,357.1,13.5,75,80.9,0,0,10,74.1,14.7,1.3,5,0.2
Brown,17009,39.961762425299646,-90.75033345091684,2016,6836,52500,87400,1.66,573,17.3,4.8,2449,358.3,13,77.5,78.7,0,0,11.7,76.4,18.3,0.7,3.6,0
Brown,17009,39.961762425299646,-90.75033345091684,2018,6675,58762,89600,1.52,577,19.7,5,2456,367.9,15,75.9,76.3,0,73.2,10,73.9,20.1,0.6,4.3,0.1
Brown,17009,39.961762425299646,-90.75033345091684,2020,6599,60694,99800,1.64,485,28.4,3.3,2454,371.9,14.8,76.6,76.2,NA,100,10.8,73.9,17.9,0,6.7,0.5
Brown,17009,39.961762425299646,-90.75033345091684,2022,6334,64760,122100,1.89,625,24.4,4,2342,369.8,11.8,70.8,70.2,NA,100,10,75.4,16.4,0,6.9,0.4
Bureau,17011,41.404108827441554,-89.52872546114075,2014,34361,49921,102000,2.04,635,37.4,19.3,15683,456.4,10,75.1,76.2,58.8,64.7,12,89.4,0.6,0.7,8.2,0.2
Bureau,17011,41.404108827441554,-89.52872546114075,2016,33822,51425,105300,2.05,641,37.6,19.5,15664,463.1,10.5,75.6,77.3,25.3,61.5,13.1,88.8,0.7,0.8,8.5,0.1
Bureau,17011,41.404108827441554,-89.52872546114075,2018,33381,55940,109700,1.96,668,34.5,18.3,15705,470.5,12.1,76.3,77.1,72.7,69.4,12.6,88,0.9,0.9,9,0.1
Bureau,17011,41.404108827441554,-89.52872546114075,2020,32878,55549,103900,1.87,693,36.4,16.2,15679,476.9,12,75.3,76.1,46.7,66.4,12.3,87.2,0.8,0.8,9.3,0.2
Bureau,17011,41.404108827441554,-89.52872546114075,2022,33203,64165,120200,1.87,787,38.3,15.2,15640,471,11.1,75.9,75.9,60,78.2,12.6,86,0.6,0.9,9.9,0.1
Calhoun,17013,39.168990592702585,-90.66729712752293,2014,5033,52661,111300,2.11,593,30.8,16.9,2833,562.9,27.6,80.4,80.7,NA,NA,11.9,98,0.1,0,0.3,0
Calhoun,17013,39.168990592702585,-90.66729712752293,2016,4962,52949,118100,2.23,608,34.9,16.9,2843,573,31.9,81.7,81.8,NA,100,12.4,97.8,0.1,0.1,1,0
Calhoun,17013,39.168990592702585,-90.66729712752293,2018,4858,54392,114300,2.1,606,34.9,15.2,2882,593.2,37.4,84,83.7,NA,100,12.8,97,0.3,0.8,1.2,0
Calhoun,17013,39.168990592702585,-90.66729712752293,2020,4782,66602,131800,1.98,546,32.4,14.4,2896,605.6,42.6,88.7,88.7,NA,100,9.1,96.2,0.6,1.1,1.3,0.3
Calhoun,17013,39.168990592702585,-90.66729712752293,2022,4472,88059,160900,1.83,448,39.4,15.9,2322,519.2,48.1,89,88.8,NA,100,8.4,95.1,0.7,0,0.8,0.2
Carroll,17015,42.068735143394854,-89.93422975891374,2014,15027,49629,97000,1.95,560,41.3,20.1,8413,559.9,22.4,77.7,77.8,0,83.3,13.1,94.2,1.1,0.4,3.2,0.1
Carroll,17015,42.068735143394854,-89.93422975891374,2016,14793,50052,98300,1.96,603,32.7,16.7,8424,569.5,21.1,75.6,76,13.3,94.6,11.4,93.6,1.2,0.6,3.4,0.1
